dataset_name,model_name,cka_avg_test,cka_avg_train,dist_avg_train,dist_avg_test,dist_norm_avg_train,dist_norm_avg_test,l2_norm_avg_train,l2_norm_avg_test,cka_0_train,cka_0_test,cka_11_train,cka_11_test,cka_15_train,cka_15_test,cka_high_mean_train,cka_mid_mean_train,cka_low_mean_train,cka_high_mean_test,cka_mid_mean_test,cka_low_mean_test,cka_avg_test_ft,cka_avg_train_ft,dist_avg_train_ft,dist_avg_test_ft,dist_norm_avg_train_ft,dist_norm_avg_test_ft,l2_norm_avg_train_ft,l2_norm_avg_test_ft,cka_0_train_ft,cka_0_test_ft,cka_11_train_ft,cka_11_test_ft,cka_15_train_ft,cka_15_test_ft,cka_high_mean_train_ft,cka_mid_mean_train_ft,cka_low_mean_train_ft,cka_high_mean_test_ft,cka_mid_mean_test_ft,cka_low_mean_test_ft,MSC_train,MSC_test,V_intra_train,V_intra_test,S_inter_train,S_inter_test,clustering_diversity_train,clustering_diversity_test,spectral_diversity_train,spectral_diversity_test,MSC_train_ft,MSC_test_ft,V_intra_train_ft,V_intra_test_ft,S_inter_train_ft,S_inter_test_ft,clustering_diversity_train_ft,clustering_diversity_test_ft,spectral_diversity_train_ft,spectral_diversity_test_ft
aircraft,hideit3_base_patch16_224.fb_in1k,0.8677628040313721,0.8442214131355286,24.548263549804688,24.549976348876953,0.6341435313224792,0.6332362294197083,24.040931701660156,24.048336029052734,0.6373839974403381,0.6862034797668457,0.8210049271583557,0.8448854684829712,,,0.9713699221611024,0.9771808385849,0.8951666355133057,0.9716776609420776,0.98027503490448,0.9055756330490112,0.7128004431724548,0.6985975503921509,27.785688400268555,27.767765045166016,0.6246525645256042,0.6250503063201904,26.7509822845459,26.729698181152344,0.5757178664207458,0.6102548837661743,0.5248531699180603,0.5308094620704651,,,0.8870235681533813,0.95614093542099,0.9456194639205932,0.8946657180786133,0.960795521736145,0.9507337808609008,-0.07574413460285721,-0.06452571457174476,0.0967543049886487,0.0945195610496566,0.14258532538777283,0.14012985168631217,0.0971053685897436,0.09196584556254368,0.03044682449828355,0.02702569371124483,0.6023715092871542,0.5426004864679421,0.3437911614757819,0.3874375572108803,0.9568577615688684,0.9566971424267564,0.20072115384615383,0.10940448113207546,0.05212179131996938,0.019806775563168077
aircraft,hideit3_base_patch16_224.fb_in22k_ft_in1k,0.8111335039138794,0.7943703532218933,29.172897338867188,29.141742706298828,0.6493135094642639,0.6494184732437134,33.08243179321289,33.08730697631836,0.6513385772705078,0.6870049834251404,0.5339515209197998,0.5458143353462219,,,0.8534794449806213,0.9879835247993468,0.8915294408798218,0.8533716201782227,0.9898412823677064,0.9040640592575072,0.656015932559967,0.6471807360649109,31.957576751708984,31.8778076171875,0.6467446088790894,0.6459004878997803,34.040977478027344,33.9871826171875,0.5008624792098999,0.5280939936637878,0.3547530770301819,0.36382314562797546,,,0.8192518949508667,0.9854097962379456,0.9012417197227478,0.823760986328125,0.9863216876983644,0.9113651514053344,-0.0332230640128434,-0.01946936092381622,0.231437122489508,0.22333047481385848,0.36354006688560575,0.3588926674477866,0.08266977163461539,0.07972626222921034,0.03190800948784902,0.02689166029669204,0.6156120427265962,0.5645150864865668,0.33852316815122174,0.3734857181186142,0.958409035054073,0.957273796032556,0.13462094907407407,0.0828649109014675,0.044747057633522234,0.021156126973014208
aircraft,hideit_base_patch16_224.fb_in1k,0.8318833708763123,0.8156874775886536,22.839155197143555,22.866851806640625,0.4652815759181976,0.4654115438461304,22.653499603271484,22.660137176513672,0.6399619579315186,0.6729714870452881,0.5825480818748474,0.5805234909057617,,,0.8758755326271057,0.9809376001358032,0.8826919794082642,0.8750452995300293,0.984155774116516,0.8946572542190552,0.7490124702453613,0.7319059371948242,24.482913970947266,24.49513053894043,0.4783373773097992,0.4789271354675293,23.55113983154297,23.55257225036621,0.5788244605064392,0.6239097714424133,0.5007385611534119,0.5034548044204712,,,0.8555389642715454,0.973156213760376,0.9160492420196532,0.8657448291778564,0.9777277708053588,0.9289002418518066,-0.04097804541229131,-0.04959958803308771,0.3143739384534625,0.3100217263416121,0.4284265118564112,0.4287217397923875,0.1317844662571225,0.12141094514325648,0.04729938306487524,0.03892854933843672,0.5708890509592817,0.5028630892436328,0.3676621710516278,0.4158177117203325,0.949866451646366,0.9475382213007236,0.17664930555555555,0.11645975279524808,0.05223017978744629,0.027876728173321905
aircraft,hiresnet50.a1_in1k,0.7238094806671143,0.7058530449867249,8.581119537353516,8.595128059387207,0.48820042610168457,0.4869864583015442,21.39661026000977,21.412391662597656,0.2030961960554123,0.2363890111446381,0.7846850156784058,0.8033939003944397,0.573844313621521,0.5520505309104919,0.8639334440231323,0.8871986269950867,0.6737319827079773,0.8577215671539307,0.9039629101753236,0.6893508434295654,0.5798765420913696,0.5651839375495911,10.344664573669434,10.327350616455078,0.3911025524139404,0.3897949457168579,22.52152633666992,22.51728057861328,0.17005540430545807,0.1969357430934906,0.7042422890663147,0.7163898348808289,0.2180458158254623,0.2356720119714737,0.7121410965919495,0.8574022054672241,0.638258159160614,0.7328085899353027,0.8535733222961426,0.658548891544342,-0.03991203367825509,-0.051246393987086705,0.06276809442483071,0.06086034798578436,0.07396540436903873,0.07343682360961029,0.07056707398504275,0.07375565055031447,0.011177807688139953,0.009984383957003648,0.4671064290907509,0.39716572170959374,0.07618382388285606,0.08298580259172451,0.16215484302794045,0.15932796235292584,0.07075070112179488,0.07406929703878407,0.009788665669755291,0.00949814184656683
aircraft,hiresnet50.fb_ssl_yfcc100m_ft_in1k,0.7575060129165649,0.7411988377571106,5.934673309326172,5.926015853881836,0.44888392090797424,0.44768157601356506,10.164119720458984,10.15911102294922,0.2139052450656891,0.23207910358905792,0.825839102268219,0.8356311321258545,0.6763226985931396,0.7118222713470459,0.854308009147644,0.970570743083954,0.69471275806427,0.8756275177001953,0.9737404584884644,0.7122565507888794,0.6630653142929077,0.6381195783615112,6.124790668487549,6.10954475402832,0.4350588917732239,0.4359232187271118,10.17063808441162,10.162025451660156,0.2672986388206482,0.3067265748977661,0.7312195897102356,0.7557290196418762,0.44270962476730347,0.4607439935207367,0.7958549857139587,0.891476035118103,0.6797400712966919,0.8092381954193115,0.8997406959533691,0.7016770243644714,-0.017109977413626912,-0.02838541432950588,0.2298783314791255,0.22178794479157843,0.2517384260832396,0.24570557750839697,0.07390887920673077,0.07610431407232704,0.007693976880266117,0.006910493421667027,0.5415768317417949,0.4705967981988946,0.3958392630331053,0.45066802548058493,0.9366220042529404,0.9305717338749584,0.0722812750400641,0.07398904284591194,0.030144817518213626,0.018879871323423565
aircraft,hiresnet50.fb_swsl_ig1b_ft_in1k,0.7722455263137817,0.7523627877235413,7.016519546508789,7.01662015914917,0.4691336452960968,0.4677802324295044,13.23891830444336,13.239832878112791,0.2015826255083084,0.2228323072195053,0.83243328332901,0.8477339148521423,0.6733675003051758,0.7181857824325562,0.8891004920005798,0.9438318610191344,0.7075991630554199,0.908733069896698,0.9451120495796204,0.7242085933685303,0.6745760440826416,0.6511990427970886,7.335277557373047,7.320436477661133,0.4378505051136017,0.4387141466140747,13.404769897460938,13.398942947387695,0.3050685226917267,0.34217268228530884,0.7233479619026184,0.7511857151985168,0.48681411147117615,0.5069602727890015,0.8176905512809753,0.878767728805542,0.7016077637672424,0.8309664130210876,0.8911846876144409,0.7193233370780945,-0.0010216163564823297,-0.0038126384427603862,0.2671811474496127,0.25389935955925663,0.2932810087373367,0.2834962562866156,0.07135896601228632,0.07439809355345911,0.0071874053145830445,0.006520663792232297,0.545241644958834,0.4742664595829413,0.39171528190147575,0.4452713622983043,0.935141003480299,0.9303482607782454,0.07097501836271367,0.07385596829140462,0.025346171719810136,0.01725447437954399
aircraft,hiresnet50.gluon_in1k,0.71262526512146,0.6894676089286804,4.388266563415527,4.3897271156311035,0.4849625825881958,0.4826570153236389,6.688648223876953,6.692361354827881,0.1904955953359604,0.228649377822876,0.7752971649169922,0.8000763058662415,0.4556349217891693,0.4558164179325104,0.8110382556915283,0.8769450187683105,0.6860975027084351,0.8118252754211426,0.8911283612251282,0.70440673828125,0.6797206401824951,0.6526134014129639,4.635527610778809,4.625033378601074,0.44810962677001953,0.4469950199127197,6.642224311828613,6.637513637542725,0.278141587972641,0.31933072209358215,0.728713870048523,0.7591789364814758,0.44343703985214233,0.4805968105792999,0.8080538511276245,0.9010621905326844,0.6859719753265381,0.8289134502410889,0.9101998805999756,0.7106396555900574,-0.028233943370502484,-0.03380719823540535,0.2998519399636741,0.28845638005973023,0.3311405823182496,0.3237579392229112,0.07485518496260685,0.07666936910377359,0.01302337610664276,0.011432285930188198,0.5371453229817544,0.4655251619349785,0.4008648763974451,0.4550505704554093,0.940685149100356,0.937730543930898,0.07307525373931624,0.07458276008909853,0.034682152649531,0.02226166497423963
aircraft,hiresnet50.in1k_mocov3,0.7440775632858276,0.7132874131202698,7.442183971405029,7.455620765686035,0.4903493523597718,0.49053123593330383,14.106913566589355,14.120306015014648,0.1947452872991562,0.2368672788143158,0.7132689356803894,0.7728328108787537,0.6440967321395874,0.6867660880088806,0.8687511682510376,0.85611891746521,0.6874375939369202,0.8914915919303894,0.8713409304618835,0.7015941143035889,0.6193503737449646,0.5881098508834839,7.670035839080811,7.653834819793701,0.4345258176326752,0.4512680768966675,14.15919589996338,14.153627395629885,0.2008322775363922,0.22649116814136505,0.6757325530052185,0.7118238806724548,0.5179262161254883,0.5456272959709167,0.8174030780792236,0.7720162272453308,0.590941846370697,0.8522500395774841,0.7984524369239807,0.6186059713363647,-0.006209436534170567,-0.004826037318401994,0.0907570188068392,0.08979977031247569,0.1038704464919024,0.10437287721547164,0.0718994140625,0.07479035639412998,0.011131672869221523,0.009851280740409526,0.4860022910148597,0.4219132677733591,0.18474289122344537,0.19847324101316308,0.4175266635238422,0.4031101255534451,0.07067662426549146,0.07381911687631026,0.02736098107953484,0.021245436496892065
aircraft,hiresnet50.in1k_spark,0.7487069368362427,0.7332032918930054,6.6142425537109375,6.619336128234863,0.4559781849384308,0.45197394490242,24.2421932220459,24.24526596069336,0.21111911535263064,0.2472533881664276,0.7943950891494751,0.8091297149658203,0.7151782512664795,0.7391358613967896,0.8924930095672607,0.901868462562561,0.6077656745910645,0.9011783599853516,0.9123818278312684,0.6169854402542114,0.5636765956878662,0.5370694994926453,7.000166416168213,7.007216930389404,0.4108690023422241,0.4090786278247833,24.022214889526367,24.02229118347168,0.27203071117401123,0.30041661858558655,0.6219438314437866,0.6430577039718628,0.4555143415927887,0.48128125071525574,0.8171465992927551,0.7252017855644226,0.691739022731781,0.8380556106567383,0.7557364106178284,0.7049126625061035,-0.04548972180812797,-0.04503045852948102,0.02881139362655352,0.027928306523059197,0.030578476282541303,0.03033148029495443,0.07036258012820512,0.07365533280922432,0.007245358867714037,0.006880473978114578,0.4672755436156316,0.37748631554093987,0.19074338638860908,0.21472534589995176,0.41613510822353833,0.40787322997876546,0.07033545339209402,0.07361848139412998,0.01950290494670089,0.013174841285876506
aircraft,hiresnet50.in1k_supcon,0.8016236424446106,0.7826499938964844,0.601360559463501,0.6022964119911194,0.49309954047203064,0.4918204247951507,0.9621939063072203,0.9632158279418944,0.5548921227455139,0.5830362439155579,0.8410440683364868,0.858956515789032,0.45128992199897766,0.4471499025821686,0.811214029788971,0.9629321098327636,0.8380905985832214,0.8229586482048035,0.9675759673118592,0.853577196598053,0.6734289526939392,0.6396392583847046,0.8003217577934265,0.7986456155776978,0.4639223217964173,0.4627416729927063,1.2355687618255615,1.2347402572631836,0.42556560039520264,0.4621251523494721,0.6715500950813293,0.7078741788864136,0.4542451798915863,0.4962467551231384,0.8262906670570374,0.8653426170349121,0.7462945580482483,0.8546390533447266,0.8860594034194946,0.7678735256195068,-0.03582499571626762,-0.05023049009332883,0.0058294772639944665,0.005781713177875333,0.007768721060680903,0.00776649881236256,0.07403929620726496,0.07611741679769392,0.009572577734406175,0.00895788977449795,0.5585041234809177,0.4830322796421938,0.3754210920761559,0.4308980568650622,0.9271945195535,0.9212770265333208,0.07213520799946581,0.07432275288259957,0.03147251069402465,0.021179107843704945
aircraft,hiresnet50.in1k_swav,0.7847186923027039,0.7667604088783264,4.626498699188232,4.633462905883789,0.5059158205986023,0.5040510892868042,8.761152267456055,8.770000457763672,0.5076945424079895,0.5460731983184814,0.7818456292152405,0.8008372187614441,0.753975510597229,0.7698382139205933,0.8726985454559326,0.8991149663925171,0.7610527276992798,0.8798661828041077,0.908460021018982,0.775825023651123,0.7140145897865295,0.7228518128395081,5.269259452819824,5.2450737953186035,0.39894899725914,0.4051843285560608,9.135608673095703,9.128010749816896,0.26810422539711,0.29945725202560425,0.8044152855873108,0.792059063911438,0.7660053372383118,0.7367409467697144,0.974492371082306,0.9548296928405762,0.7161612510681152,0.9593226313591005,0.9436753988265992,0.7430645823478699,-0.010827485453975938,-0.03383838341067445,0.08860891918132476,0.08738326034312456,0.09630670504011817,0.0966698674154544,0.07307838374732906,0.07563179703878406,0.011132142399079526,0.01011221912109627,0.47942691615069727,0.3959136566562033,0.2460708529981416,0.2772888921575891,0.5552751757239275,0.5439450672636303,0.07222910823985043,0.07453771947064988,0.023126064620625515,0.020655012917968466
aircraft,hiresnet50.in21k_miil,0.8719392418861389,0.8701015710830688,42.20716857910156,41.71343231201172,0.24175527691841123,0.2427864968776703,41.37910079956055,41.11963653564453,0.5009368062019348,0.5061147809028625,0.8840898871421814,0.877788245677948,0.9118986129760742,0.9126988649368286,0.9514977931976318,0.9554009437561036,0.8318850994110107,0.9495446085929872,0.953002154827118,0.8361058235168457,0.6279323697090149,0.6156154870986938,5.9652204513549805,5.9640045166015625,0.4149280786514282,0.4149985909461975,13.019827842712402,13.024325370788574,0.15438774228096008,0.185184508562088,0.7110888361930847,0.7192944288253784,0.3621519207954407,0.38001683354377747,0.7915687561035156,0.8966560363769531,0.6716621518135071,0.8066542744636536,0.902702808380127,0.6848624348640442,-0.05089906791197589,-0.09069534933770734,0.22080346436668444,0.21334118882292324,0.22688358836810835,0.22298551622326837,0.07301265357905984,0.0760256977201258,0.0005913619668437885,0.0008516951270823209,0.49558876431685206,0.42710975680317814,0.17530678588352752,0.19163891417895057,0.4011193131612136,0.3950550271449091,0.0705608139690171,0.07382894392033543,0.014800626856203262,0.01127781662738548
aircraft,hiresnet50.tv2_in1k,0.7265939712524414,0.7095609307289124,7.555711269378662,7.557337760925293,0.4928819537162781,0.4904702603816986,15.082313537597656,15.087594032287598,0.1961820274591446,0.23102067410945892,0.7804050445556641,0.793808102607727,0.5422126054763794,0.5159334540367126,0.8555685877799988,0.8964336514472961,0.6683610677719116,0.8478720188140869,0.9105473160743712,0.6921963691711426,0.7381631135940552,0.7346804141998291,8.9796142578125,8.964166641235352,0.3604262471199035,0.3609161376953125,15.716341018676758,15.71440887451172,0.1391676515340805,0.17318065464496613,0.6934565305709839,0.7011550664901733,0.67960125207901,0.6839341521263123,0.9032623767852784,0.9883878231048584,0.6619836688041687,0.9046922326087952,0.9870964288711548,0.6763918995857239,-0.06048390823009661,-0.05002134631090014,0.17593623937414235,0.16770007002266002,0.20604410664776057,0.20043240540915655,0.07130679921207266,0.07425723925576519,0.010995916878947845,0.009987567393284925,0.5109111632670663,0.4425994865713109,0.4235273426602072,0.47535419756675007,0.9352818139436184,0.9338680311593678,0.07096562833867522,0.07400132665094339,0.02222644548433331,0.017522415462529882
aircraft,hiresnet50.tv_in1k,0.7375680208206177,0.7154243588447571,0.970773994922638,0.9718973636627196,0.48136669397354126,0.47823792695999146,1.211902141571045,1.212928295135498,0.3735834062099457,0.4070185124874115,0.7686151266098022,0.7866512537002563,0.5720602869987488,0.6041543483734131,0.8315327763557434,0.923111855983734,0.6894751191139221,0.8560768961906433,0.9286285638809204,0.7117412090301514,0.6662830114364624,0.6445803046226501,0.9540547728538512,0.9536717534065248,0.4663282036781311,0.46438467502593994,1.187822699546814,1.1882425546646118,0.3655356168746948,0.40142664313316345,0.7091825008392334,0.7333362698554993,0.4045885503292084,0.4156056046485901,0.8383532166481018,0.9050448536872864,0.6890948414802551,0.8436405658721924,0.9140020608901978,0.7100328207015991,-0.009851958458892748,-0.01070007580688403,0.13329544873834115,0.12727034433572637,0.1497642666361357,0.14686487244144072,0.08066552317040598,0.08096174004192871,0.01086842780932784,0.009871034478803851,0.583561771295,0.5072351093503039,0.36914185955134665,0.42719029512946033,0.9567395705362732,0.9531806242875268,0.07755951188568377,0.07509990828092243,0.036738257282055334,0.019289625422009883
aircraft,hivit_base_patch16_224.dino,0.9011822938919068,0.8833465576171875,72.74507141113281,72.95295715332031,0.622918963432312,0.6235924959182739,64.17193603515625,64.30653381347656,0.6948323845863342,0.7325263619422913,0.8884533047676086,0.9072256684303284,,,0.9926040768623352,0.9788710474967957,0.8950643539428711,0.9934154152870178,0.9824360013008118,0.9076811075210572,0.7811325192451477,0.7741879224777222,56.915672302246094,56.98974609375,0.5076630115509033,0.5090326070785522,61.7171630859375,61.75200653076172,0.5915016531944275,0.6234714984893799,0.7287576198577881,0.7173076868057251,,,0.9679893851280212,0.9593601822853088,0.916932225227356,0.9659829139709472,0.9605731964111328,0.9276703596115112,-0.02980692518874611,-0.03271011134011757,0.2908345907778479,0.28303496466144784,0.3336971239416822,0.33359372170923896,0.1553054331374644,0.1368836259608665,0.03936740459922033,0.02939335711347232,0.6184499355315224,0.543437829100059,0.33784171535839996,0.39340459383785314,0.9600682082434856,0.95828933512641,0.20802867922008547,0.1102976502445842,0.06781073263249336,0.031009686724194935
aircraft,hivit_base_patch16_224.in1k_mocov3,0.8961269855499268,0.8770550489425659,8.820255279541016,8.84404182434082,0.5956567525863647,0.5975190997123718,8.557538032531738,8.573452949523926,0.6587470173835754,0.7032187581062317,0.8780660033226013,0.9065113067626952,,,0.9901686906814576,0.9877514243125916,0.8774338960647583,0.993739128112793,0.9897005558013916,0.8932340145111084,0.8580936789512634,0.8310399055480957,9.077564239501951,9.096986770629885,0.5671602487564087,0.569043755531311,8.684186935424805,8.692338943481445,0.6732721924781799,0.7273334264755249,0.8167572617530823,0.8436291217803955,,,0.9905810952186584,0.9781585931777954,0.934266984462738,0.9913498163223268,0.9830451607704164,0.9429054260253906,-0.02241574344890033,-0.02747198508797881,0.1134718070587422,0.11224532808130087,0.13250153668754988,0.13243895697951685,0.1013816550925926,0.09636836128581412,0.02937682297749397,0.023458112054650888,0.5228098308800093,0.4311458565504385,0.398155120761647,0.46232328331764305,0.9369711490173648,0.9346388822244156,0.16771278490028493,0.1228462395178197,0.06437272258484976,0.03719279573023694
aircraft,hivit_base_patch16_224.mae,0.8881218433380127,0.8680473566055298,11.94702434539795,11.972784042358398,0.5420602560043335,0.5427629947662354,11.06549072265625,11.083778381347656,0.6746780872344971,0.7033029794692993,0.8863528966903687,0.9027002453804016,,,0.9872509241104126,0.9786953926086426,0.868858814239502,0.9888931512832642,0.982729196548462,0.8782972097396851,0.5412130951881409,0.5199148654937744,16.527759552001953,16.404991149902344,0.5976978540420532,0.597836971282959,18.210844039916992,18.2096004486084,0.4913402795791626,0.506616473197937,0.3839164972305298,0.4064072370529175,,,0.9007021188735962,0.8513888716697693,0.9235454797744752,0.907246470451355,0.8583072423934937,0.9283687472343444,-0.10753544306960446,-0.08449198774878823,0.05533026863526749,0.054270320267524805,0.057854828761575966,0.0581219156934669,0.07102196848290598,0.07413576607267645,0.017830923963815738,0.015947868332922836,0.5698911125668057,0.43225211710062095,0.34770533316678337,0.44403592430136246,0.95929711958036,0.9554263879990008,0.1914535478988604,0.1281408324598183,0.06193899711928307,0.03268664110006776
